====== Run started 12-06-2026 15:52:32.64 ======
12-06-2026 15:52:49.24 | SubledgerType | DATABASE/PROC | SPN_FC_UPD_SUBLEDGER_ENT_ROLES | OK
12-06-2026 15:52:49.31 | SubledgerType | DATABASE/PROC | SPN_FC_UPD_SUBLEDGER_TYPE | OK
12-06-2026 15:52:49.39 | SubledgerType | DATABASE/PROC | SPN_FC_UPD_SUB_LED_ACCOUNT | OK
12-06-2026 15:52:49.48 | SubledgerType | DATABASE/PROC | SPN_PC_GET_TAG_FOLDER_FILE_CNT | OK
12-06-2026 15:52:49.55 | SubledgerType | DATABASE/PROC | SPN_SE_GET_COMP_LIST_FOR_USER | OK
12-06-2026 15:52:49.63 | SubledgerType | BLL/BLL | bCostHeadAndCodes.cs | OK
12-06-2026 15:52:49.70 | SubledgerType | BLL/BLL | bFinancialList.cs | OK
12-06-2026 15:52:49.78 | SubledgerType | BLL/BLL | bReports.cs | OK
12-06-2026 15:52:49.85 | SubledgerType | BLL/BLL | bSecurity.cs | OK
12-06-2026 15:52:49.93 | SubledgerType | BLL/BLL | bSubLedger.cs | OK
12-06-2026 15:52:50.01 | SubledgerType | DAL/DAL | sCostHeadAndCodes.cs | OK
12-06-2026 15:52:50.20 | SubledgerType | DAL/DAL | sExternalDocumentLink.cs | OK
12-06-2026 15:52:50.27 | SubledgerType | DAL/DAL | sFinancialList.cs | OK
12-06-2026 15:52:50.35 | SubledgerType | DAL/DAL | sSecurity.cs | OK
12-06-2026 15:52:50.48 | SubledgerType | DAL/DAL | sSubLedger.cs | OK
12-06-2026 15:52:50.57 | SubledgerType | UI/UI_FORM | xpAccDocumentList.cs | OK
12-06-2026 15:52:50.66 | SubledgerType | UI/DESIGNER | xpAccDocumentList.Designer.cs | OK
12-06-2026 15:52:50.74 | SubledgerType | UI/UI_FORM | xpImportFileFields.cs | OK
12-06-2026 15:52:50.82 | SubledgerType | UI/DESIGNER | xpImportFileFields.Designer.cs | OK
12-06-2026 15:52:50.90 | SubledgerType | UI/UI_FORM | xpSubledgerType.cs | OK
12-06-2026 15:52:50.98 | SubledgerType | UI/DESIGNER | xpSubledgerType.Designer.cs | OK
====== Run finished 12-06-2026 15:52:50.99 ======
====== Run started 12-06-2026 16:23:42.73 ======
12-06-2026 16:23:42.90 | ApproverRoles | DATABASE/TABLE | AC_APPROVAL_INVENTORY | OK
12-06-2026 16:23:42.98 | ApproverRoles | DATABASE/TABLE | AC_APPROVER_ROLES | OK
12-06-2026 16:23:43.17 | ApproverRoles | DATABASE/PROC | SPN_AC_CHK_APPR_ROLE_EDIT | OK
12-06-2026 16:23:43.24 | ApproverRoles | DATABASE/PROC | SPN_AC_DEL_APPROVER_ROLES | OK
12-06-2026 16:23:43.32 | ApproverRoles | DATABASE/PROC | SPN_AC_GET_APPROVER_ROLES | OK
12-06-2026 16:23:43.39 | ApproverRoles | DATABASE/PROC | SPN_AC_INS_APPROVER_ROLES | OK
12-06-2026 16:23:43.46 | ApproverRoles | DATABASE/PROC | SPN_AC_UPD_APPROVER_ROLES | OK
12-06-2026 16:23:43.54 | ApproverRoles | BLL/BLL | bApproverRoles.cs | OK
12-06-2026 16:23:43.63 | ApproverRoles | DAL/DAL | sApproverRoles.cs | OK
12-06-2026 16:23:43.71 | ApproverRoles | UI/UI_FORM | xpApproverRoles.cs | OK
12-06-2026 16:23:43.79 | ApproverRoles | UI/DESIGNER | xpApproverRoles.designer.cs | OK
12-06-2026 16:23:43.88 | ContractPayOthElements | DATABASE/TABLE | AR_PAY_ADDT_DET | OK
12-06-2026 16:23:43.95 | ContractPayOthElements | DATABASE/TABLE | AR_PAY_ADDT_DET_LINE_MAST | OK
12-06-2026 16:23:44.04 | ContractPayOthElements | DATABASE/TABLE | AR_PAY_ADDT_MAST | OK
12-06-2026 16:23:44.13 | ContractPayOthElements | DATABASE/TABLE | AR_PAY_ADDT_MAST_ACC | OK
12-06-2026 16:23:44.20 | ContractPayOthElements | DATABASE/TABLE | CM_COST_CODE | OK
12-06-2026 16:23:44.28 | ContractPayOthElements | DATABASE/TABLE | CM_COST_HEAD | OK
